Date : 2023-04-22 13:35:07
Directory : /Users/wik/Desktop/Developer/python
Total : 486 files,  41434 codes, 1186 comments, 3120 blanks, all 45740 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/122Keyboard.py                                         | Python   |         20 |          0 |          9 |         29 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/123Sale.py                                             | Python   |         17 |          0 |          8 |         25 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/124NightattheMuseum.py                                 | Python   |         28 |          2 |         10 |         40 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/125Businesstrip.py                                     | Python   |         15 |          0 |          7 |         22 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/126_01Game.py                                          | Python   |         32 |          0 |          6 |         38 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/127DistanceandAxis.py                                  | Python   |         11 |          0 |          3 |         14 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/128OracandFactors.py                                   | Python   |         11 |          0 |          3 |         14 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/129ShellGame.py                                        | Python   |          8 |          0 |          2 |         10 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/12BoyorGirl.py                                         | Python   |          6 |          0 |          3 |          9 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/130FriendsandCandies.py                                | Python   |         14 |          0 |          2 |         16 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/131SumofMedians.py                                     | Python   |         22 |          0 |          6 |         28 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/132Two-gram.py                                         | Python   |         11 |          0 |          5 |         16 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/133YetAnotherTetrisProblem.py                          | Python   |         21 |          0 |          6 |         27 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/134DieRoll.py                                          | Python   |         15 |          0 |          8 |         23 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/135UniqueNumber.py                                     | Python   |         17 |          0 |          5 |         22 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/136FairPlayoff.py                                      | Python   |          9 |          0 |          2 |         11 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/137DominantPiranha.py                                  | Python   |         16 |          0 |          5 |         21 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/138LinelandMail.py                                     | Python   |         18 |          0 |          5 |         23 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/139Borze.py                                            | Python   |          5 |          0 |          3 |          8 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/13SoldierandBananas.py                                 | Python   |         13 |          0 |          5 |         18 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/140CombinationLock.py                                  | Python   |         17 |          0 |          9 |         26 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/141C+=.py                                              | Python   |         16 |          0 |          4 |         20 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/142MagicNumbers.py                                     | Python   |         13 |          0 |          4 |         17 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/143BustoUdayland.py                                    | Python   |         20 |          0 |          3 |         23 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/144DevutheSingerandChurutheJoker.py                    | Python   |         26 |          0 |          4 |         30 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/145ChipsMoving.py                                      | Python   |          7 |          0 |          5 |         12 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/146ShiftingStacks.py                                   | Python   |         14 |          0 |          4 |         18 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/147Panoramix'sPrediction.py                            | Python   |         17 |          0 |          9 |         26 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/148BadBoy.py                                           | Python   |          7 |          0 |          3 |         10 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/149MaximumIncrease.py                                  | Python   |         14 |          0 |          5 |         19 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/14BearandBigBrother.py                                 | Python   |         12 |          0 |          5 |         17 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/15WrongSubtraction.py                                  | Python   |          9 |          0 |          3 |         12 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/16Tram.py                                              | Python   |         10 |          0 |          4 |         14 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/17Elephant.py                                          | Python   |         10 |          0 |          4 |         14 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/18Word.py                                              | Python   |         15 |          0 |          7 |         22 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/19QueueattheSchool.py                                  | Python   |         13 |          0 |          6 |         19 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/20NearlyLuckyNumber.py                                 | Python   |          9 |          0 |          4 |         13 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/21Translation.py                                       | Python   |          6 |          0 |          2 |          8 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/22AntonandDanik.py                                     | Python   |         14 |          0 |          4 |         18 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/23BeautifulYear.py                                     | Python   |         10 |          0 |          2 |         12 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/24GeorgeandAccommodation.py                            | Python   |          7 |          0 |          3 |         10 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/25VanyaandFence.py                                     | Python   |         11 |          0 |          5 |         16 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/26Presents.py                                          | Python   |          8 |          1 |          3 |         12 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/27Magnets.py                                           | Python   |          9 |          0 |          5 |         14 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/28InSearchofanEasyProblem.py                           | Python   |          7 |          0 |          4 |         11 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/29Hulk.py                                              | Python   |         11 |          0 |          7 |         18 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/30CalculatingFunction.py                               | Python   |          7 |          0 |          4 |         11 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/31Ultra-FastMathematician.py                           | Python   |          9 |          0 |          4 |         13 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/32Drinks.py                                            | Python   |          6 |          0 |          4 |         10 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/33IWannaBetheGuy.py                                    | Python   |         20 |          0 |          8 |         28 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/34Insomniacure.py                                      | Python   |         12 |          0 |          5 |         17 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/35Is yourhorseshoeontheotherhoof.py                    | Python   |          9 |          0 |          4 |         13 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/36ArrivaloftheGeneral.py                               | Python   |         31 |          2 |         13 |         46 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/37AntonandLetters.py                                   | Python   |         15 |          0 |          3 |         18 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/38DivisibilityProblem.py                               | Python   |         15 |          0 |          8 |         23 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/39Games.py                                             | Python   |         10 |          0 |          4 |         14 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/40Pangram.py                                           | Python   |         12 |          0 |          4 |         16 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/41AntonandPolyhedrons.py                               | Python   |         17 |          0 |          4 |         21 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/42CandiesandTwoSisters.py                              | Python   |         12 |          0 |          2 |         14 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/43AmusingJoke.py                                       | Python   |         16 |          0 |          3 |         19 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/44HittheLottery.py                                     | Python   |         11 |          0 |          5 |         16 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/45FoxAndSnake.py                                       | Python   |         31 |          0 |          7 |         38 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/46VasyatheHipster.py                                   | Python   |         10 |          0 |          4 |         14 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/47SumofRound Numbers.py                                | Python   |         12 |          0 |          3 |         15 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/48NewYearandHurry.py                                   | Python   |         12 |          1 |          3 |         16 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/49DesignTutorial-LearnfromMath.py                      | Python   |          5 |          0 |          1 |          6 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/50I_love_username.py                                   | Python   |         13 |          0 |          5 |         18 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/51YetAnotherTwoIntegersProblem.py                      | Python   |         16 |          0 |          3 |         19 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/52RestoringThreeNumbers.py                             | Python   |          7 |          0 |          1 |          8 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/53BuyaShovel.py                                        | Python   |         14 |          0 |          4 |         18 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/54ShortSubstrings.py                                   | Python   |         17 |          0 |          4 |         21 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/55PoliceRecruits.py                                    | Python   |         14 |          0 |          4 |         18 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/56TheNewYearMeetingFriends.py                          | Python   |          8 |          0 |          4 |         12 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/57HolidayOfEquality.py                                 | Python   |          7 |          0 |          1 |          8 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/58RequiredRemainder.py                                 | Python   |         10 |          0 |          4 |         14 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/59MinimalSquare.py                                     | Python   |         17 |          0 |          1 |         18 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/59TeamOlympiad.py                                      | Python   |         17 |          0 |          4 |         21 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/60MishkaandGame.py                                     | Python   |         17 |          0 |          4 |         21 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/61PhoenixandBalance.py                                 | Python   |         13 |          0 |          3 |         16 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/62BachgoldProblem.py                                   | Python   |         14 |          0 |          2 |         16 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/63MagicalSticks.py                                     | Python   |          4 |          0 |          2 |          6 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/64BoringApartments.py                                  | Python   |         21 |          0 |          6 |         27 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/65MaximuminTable.py                                    | Python   |         18 |          0 |          7 |         25 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/66ParkLighting.py                                      | Python   |          6 |          0 |          2 |          8 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/67Brain'sPhotos.py                                     | Python   |         13 |          0 |          5 |         18 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/68BlackSquare.py                                       | Python   |         17 |          0 |          4 |         21 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/69AddOddorSubtractEven.py                              | Python   |         19 |          0 |          3 |         22 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/70CollectingCoins.py                                   | Python   |         11 |          0 |          2 |         13 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/71ThreePairwiseMaximums.py                             | Python   |         10 |          0 |          2 |         12 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/72FashionabLee.py                                      | Python   |          7 |          0 |          2 |          9 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/73SpecialPermutation.py                                | Python   |         11 |          0 |          2 |         13 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/74CardsforFriends.py                                   | Python   |         19 |          0 |          2 |         21 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/75SerejaandDima.py                                     | Python   |         38 |          0 |          9 |         47 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/76GennadyandaCardGame.py                               | Python   |         10 |          0 |          5 |         15 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/77VanyaandCubes.py                                     | Python   |         13 |          0 |          6 |         19 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/78SoftDrinking.py                                      | Python   |         13 |          0 |          3 |         16 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/79FafaandhisCompany.py                                 | Python   |          6 |          0 |          3 |          9 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/80FairDivision.py                                      | Python   |         14 |          0 |          5 |         19 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/81ArraywithOddSum.py                                   | Python   |         19 |          0 |          2 |         21 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/82AgainTwentyFive.py                                   | Python   |          2 |          0 |          1 |          3 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/83MinutesBeforetheNewYear.py                           | Python   |          7 |          0 |          2 |          9 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/84MahmoudandEhabandtheeven-oddgame.py                  | Python   |          5 |          0 |          2 |          7 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/85SpyDetected.py                                       | Python   |         12 |          0 |          2 |         14 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/86DoNotBeDistracted.py                                 | Python   |         13 |          0 |          2 |         15 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/87RemoveSmallest.py                                    | Python   |         12 |          0 |          3 |         15 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/88BalancedArray.py                                     | Python   |         24 |          0 |          2 |         26 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/89PalindromeGame(easy version).py                      | Python   |         13 |          0 |          1 |         14 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/90RedandBlueBeans.py                                   | Python   |         10 |          0 |          2 |         12 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/91TwoArraysAndSwaps.py                                 | Python   |         12 |          0 |          2 |         14 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/92GiftsFixing.py                                       | Python   |         11 |          0 |          3 |         14 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/93EvenArray.py                                         | Python   |         16 |          1 |          5 |         22 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/94HonestCoach.py                                       | Python   |         11 |          0 |          5 |         16 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/95MaximumGCD.py                                        | Python   |          4 |          0 |          2 |          6 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/96MostUnstableArray.py                                 | Python   |         11 |          0 |          2 |         13 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/97CopyCopyCopyCopyCopy.py                              | Python   |          5 |          0 |          2 |          7 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/98OmkarandCompletion.py                                | Python   |         10 |          1 |          6 |         17 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/99EqualizePrices.py                                    | Python   |         19 |          0 |          2 |         21 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codeforces/9HelpfulMaths.py                                       | Python   |          8 |          0 |          7 |         15 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codewars/10Whicharein.py                                          | Python   |         13 |          0 |          3 |         16 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codewars/11Multiply.py                                            | Python   |         21 |          0 |          4 |         25 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codewars/12BreakcamelCase.py                                      | Python   |         18 |          0 |          3 |         21 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codewars/13HumanReadableTime.py                                   | Python   |         12 |          0 |          3 |         15 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codewars/14ValidParentheses.py                                    | Python   |         19 |          0 |          3 |         22 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codewars/15PaginationHelper.py                                    | Python   |         21 |          0 |          4 |         25 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codewars/16CatchingCarMileageNumbers.py                           | Python   |         21 |          0 |          7 |         28 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codewars/17ExtractthedomainnamefromaURL.py                        | Python   |         56 |          0 |         14 |         70 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codewars/18_80'sKids#6Rock'Em,Sock'EmRobots.py                    | Python   |         10 |          0 |          3 |         13 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codewars/19CalculatingwithFunctions.py                            | Python   |         89 |          0 |         18 |        107 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codewars/1Isthisatriangle.py                                      | Python   |         12 |          0 |          3 |         15 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codewars/20Regex Password Validation.py                           | Python   |         61 |          0 |         31 |         92 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codewars/21Numbersthatareapoweroftheirsumofdigits.py              | Python   |         19 |          0 |          7 |         26 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codewars/22StripComments.py                                       | Python   |         13 |          0 |          4 |         17 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codewars/23Permutations.py                                        | Python   |         12 |          0 |          5 |         17 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codewars/24StopgninnipSMysdroW.py                                 | Python   |          8 |          0 |          3 |         11 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codewars/25SumandResttheNumberwithitsReversedandSeeWhatHappens.py | Python   |         13 |          0 |          4 |         17 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codewars/26SumofIntervals.py                                      | Python   |         23 |          1 |          9 |         33 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codewars/27What'saPerfectPoweranyway.py                           | Python   |         14 |          0 |          5 |         19 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codewars/2OnesandZeros.py                                         | Python   |          6 |          0 |          3 |          9 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codewars/3Wheremyanagramsat.py                                    | Python   |          0 |          0 |          1 |          1 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codewars/4DetectPangram.py                                        | Python   |         12 |          0 |          3 |         15 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codewars/5CountingDuplicates.py                                   | Python   |          7 |          0 |          3 |         10 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codewars/6Playingwithdigits.py                                    | Python   |          8 |          0 |          5 |         13 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codewars/7RGBToHexConversion.py                                   | Python   |         14 |          0 |          3 |         17 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codewars/8Convertstringtocamelcase.py                             | Python   |         13 |          0 |          3 |         16 |
| /Users/wik/Desktop/Developer/python/COMPETITIVE PROGRAMMING/codewars/9TakeaTenMinuteWalk.py                                   | Python   |         34 |          0 |          4 |         38 |
| /Users/wik/Desktop/Developer/python/CTF/README.md                                                                             | Markdown |          1 |          0 |          0 |          1 |
| /Users/wik/Desktop/Developer/python/CTF/ctflearn/Reverse Polarity/main.py                                                     | Python   |          7 |          0 |          5 |         12 |
| /Users/wik/Desktop/Developer/python/CTF/ctflearn/Simple Programming/main.py                                                   | Python   |          8 |          3 |          2 |         13 |
| /Users/wik/Desktop/Developer/python/CTF/ctflearn/The Credit Card Fraudster/main.py                                            | Python   |          9 |          0 |          2 |         11 |
| /Users/wik/Desktop/Developer/python/DJANGO/README.md                                                                          | Markdown |          2 |          0 |          1 |          3 |
| /Users/wik/Desktop/Developer/python/DJANGO/courseClassBased/home/__init__.py                                                  | Python   |          0 |          0 |          1 |          1 |
| /Users/wik/Desktop/Developer/python/DJANGO/courseClassBased/home/admin.py                                                     | Python   |          1 |          1 |          2 |          4 |
| /Users/wik/Desktop/Developer/python/DJANGO/courseClassBased/home/apps.py                                                      | Python   |          4 |          0 |          3 |          7 |
| /Users/wik/Desktop/Developer/python/DJANGO/courseClassBased/home/migrations/0001_initial.py                                   | Python   |         13 |          1 |          7 |         21 |
| /Users/wik/Desktop/Developer/python/DJANGO/courseClassBased/home/migrations/0002_delete_home.py                               | Python   |         10 |          1 |          6 |         17 |
| /Users/wik/Desktop/Developer/python/DJANGO/courseClassBased/home/migrations/__init__.py                                       | Python   |          0 |          0 |          1 |          1 |
| /Users/wik/Desktop/Developer/python/DJANGO/courseClassBased/home/models.py                                                    | Python   |          1 |          1 |          2 |          4 |
| /Users/wik/Desktop/Developer/python/DJANGO/courseClassBased/home/templates/home.html                                          | HTML     |          4 |          0 |          1 |          5 |
| /Users/wik/Desktop/Developer/python/DJANGO/courseClassBased/home/tests.py                                                     | Python   |          1 |          1 |          2 |          4 |
| /Users/wik/Desktop/Developer/python/DJANGO/courseClassBased/home/urls.py                                                      | Python   |          6 |          1 |          2 |          9 |
| /Users/wik/Desktop/Developer/python/DJANGO/courseClassBased/home/views.py                                                     | Python   |          8 |          2 |          5 |         15 |
| /Users/wik/Desktop/Developer/python/DJANGO/courseClassBased/manage.py                                                         | Python   |         15 |          3 |          5 |         23 |
| /Users/wik/Desktop/Developer/python/DJANGO/courseClassBased/photos/__init__.py                                                | Python   |          0 |          0 |          1 |          1 |
| /Users/wik/Desktop/Developer/python/DJANGO/courseClassBased/photos/admin.py                                                   | Python   |          1 |          1 |          2 |          4 |
| /Users/wik/Desktop/Developer/python/DJANGO/courseClassBased/photos/apps.py                                                    | Python   |          4 |          0 |          3 |          7 |
| /Users/wik/Desktop/Developer/python/DJANGO/courseClassBased/photos/forms.py                                                   | Python   |         15 |          0 |          5 |         20 |
| /Users/wik/Desktop/Developer/python/DJANGO/courseClassBased/photos/migrations/0001_initial.py                                 | Python   |         16 |          1 |          7 |         24 |
| /Users/wik/Desktop/Developer/python/DJANGO/courseClassBased/photos/migrations/__init__.py                                     | Python   |          0 |          0 |          1 |          1 |
| /Users/wik/Desktop/Developer/python/DJANGO/courseClassBased/photos/models.py                                                  | Python   |          8 |          1 |          5 |         14 |
| /Users/wik/Desktop/Developer/python/DJANGO/courseClassBased/photos/templates/photos/create.html                               | HTML     |          7 |          0 |          3 |         10 |
| /Users/wik/Desktop/Developer/python/DJANGO/courseClassBased/photos/templates/photos/delete.html                               | HTML     |          7 |          0 |          3 |         10 |
| /Users/wik/Desktop/Developer/python/DJANGO/courseClassBased/photos/templates/photos/detail.html                               | HTML     |          8 |          0 |          2 |         10 |
| /Users/wik/Desktop/Developer/python/DJANGO/courseClassBased/photos/templates/photos/list.html                                 | HTML     |          8 |          0 |          1 |          9 |
| /Users/wik/Desktop/Developer/python/DJANGO/courseClassBased/photos/tests.py                                                   | Python   |          1 |          1 |          2 |          4 |
| /Users/wik/Desktop/Developer/python/DJANGO/courseClassBased/photos/urls.py                                                    | Python   |         10 |          0 |          2 |         12 |
| /Users/wik/Desktop/Developer/python/DJANGO/courseClassBased/photos/views.py                                                   | Python   |         79 |          0 |         31 |        110 |
| /Users/wik/Desktop/Developer/python/DJANGO/courseClassBased/templates/base.html                                               | HTML     |         16 |          0 |          5 |         21 |
| /Users/wik/Desktop/Developer/python/DJANGO/courseClassBased/templates/menu.html                                               | HTML     |          5 |          0 |          0 |          5 |
| /Users/wik/Desktop/Developer/python/DJANGO/courseClassBased/testingWebsite/__init__.py                                        | Python   |          0 |          0 |          1 |          1 |
| /Users/wik/Desktop/Developer/python/DJANGO/courseClassBased/testingWebsite/asgi.py                                            | Python   |          4 |          8 |          5 |         17 |
| /Users/wik/Desktop/Developer/python/DJANGO/courseClassBased/testingWebsite/settings.py                                        | Python   |         68 |         27 |         33 |        128 |
| /Users/wik/Desktop/Developer/python/DJANGO/courseClassBased/testingWebsite/urls.py                                            | Python   |          7 |         15 |          3 |         25 |
| /Users/wik/Desktop/Developer/python/DJANGO/courseClassBased/testingWebsite/wsgi.py                                            | Python   |          4 |          8 |          5 |         17 |
| /Users/wik/Desktop/Developer/python/DJANGO/courseFuncBase/djangoCourse/__init__.py                                            | Python   |          0 |          0 |          1 |          1 |
| /Users/wik/Desktop/Developer/python/DJANGO/courseFuncBase/djangoCourse/asgi.py                                                | Python   |          4 |          8 |          5 |         17 |
| /Users/wik/Desktop/Developer/python/DJANGO/courseFuncBase/djangoCourse/settings.py                                            | Python   |         70 |         28 |         35 |        133 |
